
is_city = yes 

owner = A59
controller = A59
add_core = A59
add_core = A90

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_forest_troll
religion = voodoo

hre = no
trade_goods = army_supplies
 




592.1.1 = {
owner = A90
controller = A90
culture = culture_high_elf
religion = arcane 
}

# The Frozen Throne
618.1.1 = {
owner = F54
controller = F54
add_core = F54
add_claim = F21
religion = arcane
remove_core = A90
}

# The Burning Crusade
625.1.1 = { 
owner = FRT
controller = FRT
add_core = FRT
remove_core = F54
culture = culture_blood_elf
religion = arcane
}

